NUMMER,NAME,STADTBEZIRK ,NR_STADTBEZIRK 
101,Altstadt-Süd,Stadtbezirk Innenstadt,1
102,Neustadt-Süd,Stadtbezirk Innenstadt,1
103,Altstadt-Nord,Stadtbezirk Innenstadt,1
104,Neustadt-Nord,Stadtbezirk Innenstadt,1
105,Deutz,Stadtbezirk Innenstadt,1
201,Bayenthal,Stadtbezirk Rodenkirchen,2
202,Marienburg (Köln),Stadtbezirk Rodenkirchen,2
203,Raderberg,Stadtbezirk Rodenkirchen,2
204,Raderthal,Stadtbezirk Rodenkirchen,2
205,Zollstock,Stadtbezirk Rodenkirchen,2
206,Rondorf,Stadtbezirk Rodenkirchen,2
207,Hahnwald,Stadtbezirk Rodenkirchen,2
208,Rodenkirchen,Stadtbezirk Rodenkirchen,2
209,Weiß,Stadtbezirk Rodenkirchen,2
210,Sürth,Stadtbezirk Rodenkirchen,2
211,Godorf,Stadtbezirk Rodenkirchen,2
212,Immendorf,Stadtbezirk Rodenkirchen,2
213,Meschenich,Stadtbezirk Rodenkirchen,2
301,Klettenberg,Stadtbezirk Lindenthal,3
302,Sülz,Stadtbezirk Lindenthal,3
303,Lindenthal,Stadtbezirk Lindenthal,3
304,Braunsfeld,Stadtbezirk Lindenthal,3
306,Junkersdorf,Stadtbezirk Lindenthal,3
305,Müngersdorf,Stadtbezirk Lindenthal,3
307,Weiden,Stadtbezirk Lindenthal,3
308,Lövenich,Stadtbezirk Lindenthal,3
309,Widdersdorf,Stadtbezirk Lindenthal,3
401,Ehrenfeld,Stadtbezirk Ehrenfeld,4
402,Neuehrenfeld,Stadtbezirk Ehrenfeld,4
403,Bickendorf,Stadtbezirk Ehrenfeld,4
404,Vogelsang,Stadtbezirk Ehrenfeld,4
405,Bocklemünd/Mengenich,Stadtbezirk Ehrenfeld,4
406,Ossendorf,Stadtbezirk Ehrenfeld,4
501,Nippes,Stadtbezirk Nippes,5
502,Mauenheim,Stadtbezirk Nippes,5
503,Riehl,Stadtbezirk Nippes,5
505,Weidenpesch,Stadtbezirk Nippes,5
506,Longerich,Stadtbezirk Nippes,5
504,Niehl,Stadtbezirk Nippes,5
507,Bilderstöckchen,Stadtbezirk Nippes,5
601,Merkenich,Stadtbezirk Chorweiler,6
602,Fühlingen,Stadtbezirk Chorweiler,6
603,Seeberg,Stadtbezirk Chorweiler,6
604,Heimersdorf,Stadtbezirk Chorweiler,6
605,Lindweiler,Stadtbezirk Chorweiler,6
606,Pesch,Stadtbezirk Chorweiler,6
607,Esch/Auweiler,Stadtbezirk Chorweiler,6
608,Volkhoven/Weiler,Stadtbezirk Chorweiler,6
609,Chorweiler,Stadtbezirk Chorweiler,6
611,Roggendorf/Thenhoven,Stadtbezirk Chorweiler,6
612,Worringen,Stadtbezirk Chorweiler,6
701,Poll,Stadtbezirk Porz,7
702,Westhoven,Stadtbezirk Porz,7
703,Ensen,Stadtbezirk Porz,7
704,Gremberghoven,Stadtbezirk Porz,7
705,Eil,Stadtbezirk Porz,7
706,Porz,Stadtbezirk Porz,7
707,Urbach,Stadtbezirk Porz,7
708,Elsdorf,Stadtbezirk Porz,7
709,Grengel,Stadtbezirk Porz,7
710,Wahnheide,Stadtbezirk Porz,7
711,Wahn,Stadtbezirk Porz,7
712,Lind,Stadtbezirk Porz,7
713,Libur,Stadtbezirk Porz,7
714,Zündorf,Stadtbezirk Porz,7
715,Langel,Stadtbezirk Porz,7
716,Finkenberg,Stadtbezirk Porz,7
801,Humboldt/Gremberg,Stadtbezirk Kalk,8
802,Kalk,Stadtbezirk Kalk,8
803,Vingst,Stadtbezirk Kalk,8
804,Höhenberg,Stadtbezirk Kalk,8
805,Ostheim,Stadtbezirk Kalk,8
806,Merheim,Stadtbezirk Kalk,8
807,Brück,Stadtbezirk Kalk,8
808,Rath/Heumar,Stadtbezirk Kalk,8
809,Neubrück,Stadtbezirk Kalk,8
901,Mülheim,Stadtbezirk Mülheim,9
902,Buchforst,Stadtbezirk Mülheim,9
903,Buchheim,Stadtbezirk Mülheim,9
904,Holweide,Stadtbezirk Mülheim,9
905,Dellbrück,Stadtbezirk Mülheim,9
906,Höhenhaus,Stadtbezirk Mülheim,9
907,Dünnwald,Stadtbezirk Mülheim,9
908,Stammheim,Stadtbezirk Mülheim,9
909,Flittard,Stadtbezirk Mülheim,9
